id,bubble_id,last_synced_at,created_at,updated_at,total_amount,created_date,record_month,linked_user,modified_date,linked_invoice,created_by,all_full_on_date,achieved_tier_bonus
75,1735617178755x925311213762993000,2025-09-12T07:48:56.288Z,2025-09-12T07:48:56.288Z,2025-09-12T07:48:56.288Z,,2024-12-31T03:52:58.760Z,2024-06-01 00:00:00+00,1710131854141x878144882857750500,2024-12-31T03:52:58.824Z,,non_authenticated_user_eternalgy_live,,
76,1735617178996x188246738262561000,2025-09-12T07:48:56.293Z,2025-09-12T07:48:56.293Z,2025-09-12T07:48:56.293Z,,2024-12-31T03:52:59.002Z,2024-07-01 00:00:00+00,1710131854141x878144882857750500,2024-12-31T03:52:59.061Z,,non_authenticated_user_eternalgy_live,,
77,1735617179238x134636997380597870,2025-09-12T07:48:56.302Z,2025-09-12T07:48:56.302Z,2025-09-12T07:48:56.302Z,,2024-12-31T03:52:59.243Z,2024-08-01 00:00:00+00,1710131854141x878144882857750500,2024-12-31T03:52:59.307Z,,non_authenticated_user_eternalgy_live,,
78,1735617179504x683492686462989000,2025-09-12T07:48:56.308Z,2025-09-12T07:48:56.308Z,2025-09-12T07:48:56.308Z,,2024-12-31T03:52:59.511Z,2024-09-01 00:00:00+00,1710131854141x878144882857750500,2024-12-31T03:52:59.620Z,,non_authenticated_user_eternalgy_live,,
79,1735617179815x773721122497963000,2025-09-12T07:48:56.313Z,2025-09-12T07:48:56.313Z,2025-09-12T07:48:56.313Z,,2024-12-31T03:52:59.822Z,2024-10-01 00:00:00+00,1710131854141x878144882857750500,2024-12-31T03:52:59.992Z,,non_authenticated_user_eternalgy_live,,
80,1735617180187x466439077280903740,2025-09-12T07:48:56.316Z,2025-09-12T07:48:56.316Z,2025-09-12T07:48:56.316Z,,2024-12-31T03:53:00.194Z,2024-11-01 00:00:00+00,1710131854141x878144882857750500,2024-12-31T03:53:00.256Z,,non_authenticated_user_eternalgy_live,,
81,1735617180410x781401607965184900,2025-09-12T07:48:56.320Z,2025-09-12T07:48:56.320Z,2025-09-12T07:48:56.320Z,,2024-12-31T03:53:00.417Z,2024-12-01 00:00:00+00,1710131854141x878144882857750500,2024-12-31T03:53:00.467Z,,non_authenticated_user_eternalgy_live,,
82,1735617183615x872206669203306000,2025-09-12T07:48:56.328Z,2025-09-12T07:48:56.328Z,2025-09-12T07:48:56.328Z,,2024-12-31T03:53:03.620Z,2024-04-01 00:00:00+00,1710131887887x375288686294390900,2024-12-31T03:53:03.694Z,,non_authenticated_user_eternalgy_live,,
83,1735617183868x878574478277218400,2025-09-12T07:48:56.334Z,2025-09-12T07:48:56.334Z,2025-09-12T07:48:56.334Z,,2024-12-31T03:53:03.873Z,2024-05-01 00:00:00+00,1710131887887x375288686294390900,2024-12-31T03:53:03.936Z,,non_authenticated_user_eternalgy_live,,
84,1735617184136x816157588300550300,2025-09-12T07:48:56.344Z,2025-09-12T07:48:56.344Z,2025-09-12T07:48:56.344Z,,2024-12-31T03:53:04.141Z,2024-06-01 00:00:00+00,1710131887887x375288686294390900,2024-12-31T03:53:04.241Z,,non_authenticated_user_eternalgy_live,,
85,1735617184433x295688975201752800,2025-09-12T07:48:56.351Z,2025-09-12T07:48:56.351Z,2025-09-12T07:48:56.351Z,,2024-12-31T03:53:04.440Z,2024-07-01 00:00:00+00,1710131887887x375288686294390900,2024-12-31T03:53:04.505Z,,non_authenticated_user_eternalgy_live,,
